index,Job Title,Job Description,,Industry,Sector
0,Business Analyst - Clinical & Logistics Platform,"Company Overview


At Memorial Sloan Kettering (MSK), we‚Äôre not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we‚Äôre driving excellence and improving outcomes. For the 28th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker‚Äôs Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor‚Äôs Employees‚Äô Choice Best Place to Work for 2018. We‚Äôre treating cancer, one patient at a time. Join us and make a difference every day.

Job Description


We are excited to recruit two Business Analyst(s) to join our digital, informatics and technology organization who will measure success on our high priority platforms supported by the Division of Health Informatics. DHI focuses on the interaction of people, processes, and technology enabling MSK to meet critical patient care and research objectives. Our division manages a suite of clinical information systems including the electronic health record, ancillary systems and other core components that enable decision support, health information exchange and knowledge management.

About the Clinical and Logistics Platform:MSK has committed to transforming itself into a digital organization. To help advance the transformation, MSK has committed to the Scaled Agile Framework (SAFe) as a method of managing technology work. As part of our digital transformation, MSK has identified a set of platforms that it will be creating to advance its digital transformation.

One of these high priority platforms is the Clinical and Logistics Platform, which is part of MSK‚Äôs digital ecosystem. The focus of the Clinical and Logistics Platform is to enable our Care Teams and Health Care Providers with a pre-integrated platform comprising of all our clinical, logistics, and communication systems. We aim to provide a world-class user experience, reduce friction and burnout to our Care Teams, and empower the Care Team members to provide the best patient experience.

You will:
Support agile team in translating end user requirements into set of user product criteria for technical development team & developing documentation
Connect with team to confirm product commitments
Conduct data analysis and research required for development team to make decisions
Collaborate with team to understand, analyze, document, and communicate platform requirements
Partner with key stakeholders to articulate and refine product vision throughout the iteration process
Help design team in translating product needs/requirements into deliverable units of work
Able to synthesize metrics such as: user satisfaction/adoption, quality of products delivered, time-to-market, timely delivery etc.
Collaborates closely with agile teams to translate business requirements and operational metrics between user groups and developers
Provide definitions for product criteria, readiness, completeness etc.
You have:
2-4 years of experience in a healthcare setting in a role such as data/business analysis
Bachelor's degree in Health Informatics, Computer Science, Information Systems or related
SAFe certification or exposure to agile methodologies a strong plus
Strong problem-solving and analytical skills, with ability to synthesize user needs and pull insights out of data
Excellent communicator able to negotiate with business to clarify needs vs. wants/likes to balance with development cost and risk
Ability to break down and describe business needs into work supporting an iterative and incremental delivery model
Credibility with both business leaders, product designers, & developers
#LI-POST

Benefits

Competitive compensation packages | Sick Time | Generous Vacation + 12 holidays to recharge & refuel | Internal Career Mobility & Performance Consulting | Medical, Dental, Vision, FSA & Dependent Care | 403b retirement savings plan match | Tuition Reimbursement | Parental Leave & Adoption Assistance | Commuter Spending Account | Fitness Discounts & Wellness Program | Resource Networks | Life Insurance & Disability | Remote Flexibility

We believe in communication, transparency, and thinking beyond your 8-hour day @ MSK. It‚Äôs important to us that you have a sense of impact, community, and work/life balance to be and feel your best.

Our Hiring Process

You read the ad, agree it sounds like a great fit & apply -> Talent Acquisition contacts you to schedule a phone interview (if your profile aligns)-> after speaking with the Talent Acquisition Specialist, you will connect with the Hiring Manager by phone or video call -> if your experience is a fit, you will move forward to an on-site visit or video call with the team -> post interview feedback -> ideally an offer! -> reference check & onboarding -> orientation & official welcome to MSK

MSK has been named a Best Place to Work in IT by Insider Pro & Computerworld, for the 2nd year in a row.

We look forward to meeting soon!

Closing


MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.

Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment.",,Health Care Services & Hospitals,Health Care
1,Business Analyst,"We are seeking for an energetic and collaborative analyst with experience and passion to fill our Business Analyst position. In this role you will be responsible for leading our Data & Analytics function. This is a cross-functional role where you will work with various areas (Investor Relations, Portfolio Excellence, Human Resource and Business Development) collecting and analyzing financial and operational data of our Private Equity and Portfolio Companies. If you enjoy working in a highly collaborative, analytical, fast-paced and dynamic environment, this is the right opportunity for you!
The ideal candidate will be highly skilled in all aspects of data analytics, including mining, generation and visualization. The role is committed to transforming data into readable, goal-driven reports for investors and business leaders.
Position Summary
Essential Job Functions:
To be the ‚Äòdata master‚Äô for key IT platforms that collect financial, operating and contact management data across the portfolio of companies that Paine Schwartz owns and network of contacts
Responsible for the timeliness and integrity of data in CRM (Salesforce.com) and finance/operating data systems (iLevel) and likely other data in the future
Actively participate in innovative projects to improve the Data Quality or master Data Management within the Firm‚Äôs data ecosystem
Responsible for assisting with the maintenance and updating of core firm marketing material, as well as supporting the Investor Relations & Business Development functions on specific presentation workstreams
Will support the Human Capital, Investor Relations, Business Development and Portfolio Operations function with insightful and useful reporting and analysis from these systems
Will have a career path in the exciting Private Equity industry with options to progress into more Financial or other functional responsibilities
Candidate Requirement
Required Skills:
Excellent excel, database and PPT skills
Understanding of income statements, balance sheets and cash flow reports and how they tie together
Good people management skills, ability to follow-up and ensure data is received timely and correctly in a professional manner
Extreme attention to detail
Ability to take initiative and work independently, while demonstrating strong teamwork
Must be able to work in a fast-paced environment, manage time and priorities under pressure and meet deadlines
Specific Technology platform requirements:
Salesforce.com (experience with this specific CRM tool is heavily desired):
Create custom objects, design page layouts, adjust fields and create custom reports.
Ability to use Salesforce data loader and Conga reporting solutions
Understanding of Pardot or other email marketing software
ILEVEL (we don‚Äôt require experience with this specific portal/finance tool but experience with ERP and financial platforms is desired). Ability to map data from financial statements.
Qualifications:
Undergraduate degree, preferably finance, economics, business or accounting related
Minimum two years of experience in a professional business context involving data management, analysis and reporting",,Venture Capital & Private Equity,Finance
2,Data Analyst,"For more than a decade, Asembia has been working with specialty pharmacies, manufacturers, prescribers, payers and other industry stakeholders to develop solutions for the high-touch specialty pharmaceutical service model.Through collaborative programs, contracting initiatives, patient support hub services and innovative technology platforms, Asembia is committed to positively impacting the patient journey.

Asembia focuses on the specialty pharmacy segment and offers comprehensive hub services, pharmacy network management, group purchasing (GPO) services, innovative technology platforms and more.As a leading industry voice and advocate, Asembia is committed to bringing strategic channel management solutions, leading-edge products and high-touch services to the specialty pharmacy industry that help our customers optimize patient care and outcomes.

Primary Function:

The Technical Analystis responsible for implementing data solutions for varied data reporting needs and act as a Subject Matter Expert (SME) for technical data product offerings.

Job Scope and Major Responsibilities:

¬?Follow all policies and internal processes to ensure data programs and files are delivered in accordance with the provisions of the Health Insurance Portability and Accountability Act of 1996 and its implementing regulations, as amended (‚ÄúHIPAA‚Äù).

¬?Design, develop and validate data reporting solutions with minimum supervision

¬?Evaluate data and report findings for accuracy, completeness, per the data specifications.

¬?Responsible for monitoring file/data receipt per expected schedules. Identify/escalate/ resolve nonconformances.

¬?Meet data reporting schedules to external stakeholders/ parties for designated data programs.

¬?Seek and adopt best practices in data reporting, make recommendations for data processing improvements. Identify opportunities to improve the process and data accuracy.

¬?Provide ad hoc data analysis to internal and external parties as requested.

¬? Successful collaboration with other Asembia team members to attain a common goal.

Qualifications:

¬?Bachelor‚Äôs Degree required. B.A./B.S. Information Systems or similar field preferred.

¬?Minimum 1 to 3 years of experience working in data analytics or Software Quality assurance ‚Äì preference towards Prescription / pharmaceutical data.

¬?Must have a working knowledge of SQL.

¬?Advance level skills in developing solutions using SQL and SSIS preferred, not required.

¬?Must be detail oriented with the ability focus on complex processing steps.

¬?Proven track record with taking ownership in data analytics or Software QA analysis.

¬?Ability to manage multiple initiatives in a fast paced, dynamic environment.

¬?Strong self-starter with a sense of ownership.

¬?Excellent organizational and collaboration skills.

Asembia is committed to Equal Employment Opportunity (EEO) and to compliance with all Federal, State and local laws that prohibit employment discrimination on the basis of race, color, age, natural origin, ethnicity, religion, gender, pregnancy, marital status, sexual orientation, gender identity and expression, citizenship, genetic disposition, disability or veteran's status or any other classification protected by State/Federal laws.",,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
3,"Information Security Analyst, Incident Response","Job Description Summary
The Information Security Analyst will be a member of the BD Security Operations group collaborating with Incident Response and other members to improve the security of BD. This person will further the adoption of the corporate Information Security framework within the Operations group, respond to alerts and conduct forensic analysis, in addition to project support.
Job Description


The Information Security Analyst will be a member of the BD Security Operations group collaborating with Incident Response and other members to improve the security of BD. This person will further the adoption of the corporate Information Security framework within the Operations group, respond to alerts and conduct forensic analysis, in addition to project support.

Responsibilities:
Ensure the response to security incidents, alerts and events
Track and report operations monitoring and alerting
Contribute to cross-functional collaboration of Operations initiatives, including working with Privacy, Legal, and Business LT on response actions
Work with teams to ensure projects are meeting objectives and deadlines
May perform other duties as required
Primary Work Location
USA NJ - Franklin Lakes
Additional Locations
Work Shift",,Health Care Products Manufacturing,Manufacturing
4,Analyst - FP&A Global Revenue,"Magnite is the world's largest independent sell-side platform. We were built by combining Rubicon Project's programmatic expertise and Telaria's talents in CTV. We help publishers sell advertising on their terms and connect with buyers across every channel and format. We believe in keeping tech transparent, solutions collaborative, and guidance unconflicted. The ticker symbol for the newly formed company will be NASDAQ: MGNI.

This position will be responsible for supporting the - Global Sales Organization by generating actionable insights through analysis of financial, operational, and industry trends, and summarizing key items in reporting/dashboards for leadership.

What you'll be doing:

Operational and Financial Planning
Revenue planning and analysis
Monitor revenue and metrics on a daily/weekly/monthly basis and escalate potential concerns
Create and maintain dashboards and visualizations of financial and operational data
Perform business case modeling including assessing the impact to revenue/growth rates and profitability
Provide recommendations to Sales to help achieving revenue objectives
Financial forecasting including full P/L and/or contribution margin
Measure business performance across multiple regions, product offerings, and categories
Managing Ad hoc analysis requests from Sales
Financial Analysis/Management Reporting
Financial analysis and reporting of key revenue streams, including variance analysis of actuals versus budget/forecast/prior year
Benchmark the Rubicon Project revenue performance against industry expectations and competition
Maintain and enhance management reporting systems in order to manage, target, and track the performance of the Revenue/Product teams, including partnering with Accounting, Financial Systems, and Business Intelligence teams to define reporting requirements
Development of tactical and strategic insights based on results of data analyses
Ad hoc analysis and modeling on corporate initiatives
What we are looking for:
Minimum of 1-2 years of work experience, preferably in FP&A within a technology company, management consulting, investment banking, and/or operational finance roles
Exceptional analytical skills and conceptual thinking ability
Demonstrated success in managing large modeling efforts involving complex business problems, large data sets, and statistical analysis
Experience with management reporting and creating executive summaries
Strong oral and written communication skills
Ability and desire to work in a fast-paced, fun, demanding environment
Digital advertising/adtech experience a plus
Undergraduate degree in Finance, Accounting, or quantitative related field with relevant financial work experience
Software Expertise
Strong proficiency in Excel with demonstrated ability of use of advanced functions such as pivot tables, lookup functions, and advanced charting techniques
Proficient in Google Docs, along with PowerPoint, and Word
Microsoft BI experience a plus
MicroStrategy or Tableau experience a plus
Experience building and using financial models
Familiarity/capacity to learn database/query tools/techniques
Experience with centralized planning/reporting tools a plus
Perks/Benefits
Career growth opportunities: We encourage you to carve your own path across the organization and provide opportunities to grow professionally
Hungry?: Each Rubicon Project office offers free daily lunches daily and a fully stocked kitchen with healthy snacks.
Take time for yourself: We offer an unlimited vacation policy and encourage you to refresh yourself as you need. We also close down the last two weeks of the year for a paid Holiday Break.
401k Match: We offer an unique 401K match program with a variety of tax break benefits
Stay healthy: Choose from a variety of low cost medical, dental and vision plans to cover you and your loved ones with a multitude of options. In addition, we offer Basic Life and Disability Coverage provided at no cost to you
Perks: Discounts to major name brand items, Travel benefit options, plus much more!",,Internet,Information Technology
5,Data Analyst,"Sapphire Digital seeks a dynamic and driven mid-level Data Analyst/QA to join our growing New Jersey team with experience in the healthcare domain. This role will perform in-depth analysis of our internal data management systems to identify, analyze, and interpret trends and/or patterns in order to provide actionable recommendations for data integrity. The Data Analyst/QA will work closely with multiple internal teams to collaborate on different stages of the data lifecycle and assist in developing data quality processes.
In this position, you'll be responsible for:
Preparing and conducting analyses and studies, needs assessment, and requirements analysis to align systems and solutions
Overseing data QA functions to ensure data integrity and accuracy
Monitoring all production data processes and validation systems
Performing data investigations, root cause analysis, data profiling, and data lineage activities
Performing research and provides recommendations for data processes and updates
Reviewing and analyzes specific data elements for accuracy and quality assurance
Driving the resolution of the identified data quality problems
Maintaining documentation as required
Partnering with BI in the development of reports and presentations
Maintaining data quality rules, data standards and data governance policies
Supporting special project work as assigned by the data managers
Collaborating effectively with cross functional teams including Data, Business Intelligence, Business Applications, and Engineering

You might be a good fit if you have:
Bachelor's degree (B. A. / B. S.) from four-year college or university; 4+ years related experience and/or training; or equivalent combination of education and experience
5+ years of experience as a data analyst or in a related field
Expertise with query languages (SQL) required
Experience working with large complex datasets including healthcare data such as medical claims, clinical information, demographic data and program activity results
Exposure with one or more of the following programming languages: SAS, Python, R
Prior experience working with Healthcare data, or in the Healthcare field preferred
Experience with data visualization tools and methodologies (Excel and PowerBI)
Demonstrated experience in analyzing large data sets and relational databases
Ability to manage time and priorities of multiple projects/tasks
Displays professionalism and ability to learn quickly
Extremely detail oriented
Strong oral and written communication skills
Ability to collaborate closely with multiple teams across with a wide range of technical backgrounds",,Internet,Information Technology
6,Investment Analyst - Graduate,"About Swiss Re

The Swiss Re Group is one of the world‚Äôs leading providers of reinsurance, insurance and other forms of insurance-based risk transfer, working to make the world more resilient. It anticipates and manages risk ‚Äì from natural catastrophes to climate change, from ageing populations to cybercrime. The aim of the Swiss Re Group is to enable society to thrive and progress, creating new opportunities and solutions for its clients. Headquartered in Zurich, Switzerland, where it was founded in 1863, the Swiss Re Group operates through a network of around 80 offices globally. It is organised into three Business Units, each with a distinct strategy and set of objectives contributing to the Group‚Äôs overall mission.

About the Programme
We are looking for graduates with strong interpersonal skills, who are eager to learn and broaden their knowledge and expertise. You have a Bachelor, Master or PhD degree, complemented with initial professional experience gained in internships ‚Äì we invite you to apply to our graduates@swissre programme 2021.

The programme offers you the opportunity to join the dynamic, fast-moving world of a leading risk knowledge organisation. Over an 18-month period, you‚Äôll receive on-and-off-the-job training, including a job rotation that gives you the opportunity to work across different business units.

About the role
This is your opportunity to join one of the world's leading reinsurers and a team of motivated investment professionals within Swiss Re's Asset Management (AM) unit! Do you have a passion for financial markets and long-term, sustainable investing? Do you like financial market analysis supporting investment action? In this role, we are looking for someone to contribute to key investment initiatives, support processes and coordinate management information materials along our investment activity. You will join AM's Financial Markets Programme which is a team of highly motivated analysts, working closely with senior investment professionals and contributing to broader cross-department work. Your key accountabilities may include:
Market research and ad-hoc analysis related to the investment portfolio and its performance, asset classes or the investment outlook.
Conduct monitoring activities of AM's investments or market developments in general and participate in meetings with key external market participants.
Coordinate key processes such as evaluation of new investments, external manager reviews, and implementation of new investment programmes.
Prepare key materials and analysis for Swiss Re's Business Units and subsidiaries, and coordinate the preparation of committee materials.
Work on daily tasks, such as market / monitoring report production, meeting preparation, and ad hoc items.
Support cross-department projects and initiatives, e.g. related to new technology applications, responsible investing, or definition of the strategic asset allocation.

About the team
As the AM division we are investing the assets generated from our core insurance and reinsurance business. We drive sustainable performance by following a long-term oriented investment approach and focus on a high-quality investment portfolio. As a diverse team of investment professionals, we ensure a strong contribution to Swiss Re's financial performance. In addition, we also support the company's thought leadership on long-term and responsible investing themes, and act as a ""Centre of Excellence"" for financial market expertise.

You will be working with high-potential employees in close interaction with other financial market professionals from the various investment teams, while reporting into the Head Financial Markets Programme (FMP).

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

About You
Successfully completed university degree in Finance, Science (Math / Physics) or Economics. CFA or actuarial qualification is a plus but not mandatory.
You demonstrate a good understanding of financial market functioning, data analysis and/or actuarial science
You show a strong interest in/motivation to learn about insurance/reinsurance.
Proficiency in MS Office applications. VB programming, Bloomberg skills are a plus.
You are fluent in English, with an aptitude to express yourself effectively in one-on-one conversations and small group
Highly motivated, with an open mind set, and eager to learn.
Strong research and analytical skills, with the ability to apply concepts to financial markets in a rigorous and timely manner.
Able to focus and pay attention to detail without losing track of the bigger picture.
Capacity to readily adapt to a changing and dynamic environment as well as being innovative and showing a high degree of own initiative.
Team-player, willingness to contribute actively to the overall team spirit.
Very good communication and interpersonal skills and ready to be mobile in terms of workplace or location.
Well-organized and structured approach to problem solving and able to maintain high quality even under time pressure.

Swiss Re",,Insurance Agencies & Brokerages,Insurance
7,IT Business Process Analysis,"Bristol-Myers Squibb is a global Biopharma company committed to a single mission: to discover, develop, and deliver innovative medicines focused on helping millions of patients around the world in disease areas such as oncology, cardiovascular, immunoscience and fibrosis.

Join us and make a difference. We hire the best people and provide them with a work environment that places a premium on diversity, integrity, collaboration and personal development. Through a culture of inclusion, we create a better, more productive work environment. We believe that the diverse experiences and perspectives of all our employees help to drive innovation and transformative business results.

Manager, IT Business Process Analysis

We seek a passionate Senior Business Analyst to join our team in leveraging technology to accelerate the commercialization of our products. We are looking for a highly experienced candidate with solid business architecture, business process management, and communication skills as well as a strong knowledge of the Commercialization domain in Pharmaceutical industry. This role is within the IT for Commercialization function and will partner with Commercialization business partners, other internal IT Delivery teams, outsourcing partners, and vendors to define, prioritize, plan, deliver and support strategic digital capabilities.

Key Responsibilities:
Lead business analysis efforts and due diligence to discover and understand root causes of business challenges and articulate business needs.
Elicit and translate complex business requirements into technical artifacts including user stories, wireframes, prototypes, information flow diagrams and process maps.
Collaborate with subject matter experts and commercialization business stakeholders to understand and generate cohesive documentation of business processes, identify business challenges, and gather & analyze current practices and standards
Contribute to development of ‚ÄúAs Is ‚Äì To Be‚Äù Process Models
Record Use Cases and Scenarios of business processes and stakeholder interactions
Capture and manage high-level & low-level requirements
Identify instances where existing processes may be streamlined or improved
Develop strategic, collaborative, and trusted partnerships with stakeholders across all levels of the Commercialization function as well as IT Business Partner and Delivery functions.
Work with stakeholders to identify qualitative improvements and calculate quantitative benefits of implementing proposed solutions
Articulate and communicate requirements to Delivery teams
Assist with communication to business & stakeholder management activities
Assist in executing a communication and change management strategy (technological and business process) in support of project execution and rollout
Contribute to a strategic roadmap that leverages modern, enterprise digital capabilities and approaches to create sustainable, fit-for-purpose solutions for business capabilities.
Partner with IT project management, delivery teams, and Commercialization stakeholders for delivery of solutions.
Communicates successes and issues accurately, urgently, and to the right audience, and takes accountability for ensuring effective management of expectations with business stakeholders.
Coordinate & execute user acceptance testing
Key Competencies:
Demonstrated mastery of key business analysis skills, including business architecture, business process management, and communications.
Ability to build productive, trusted relationships with business stakeholders at all levels and IT colleagues.
Ability to translate complex and ambiguous business needs into compelling business cases and rational solutions which leverage enterprise technologies.
Strong domain expertise in the application of IT in Pharmaceutical/Commercialization including a broad understanding of typical business processes and technology capabilities.
Excellent collaboration and communication skills; ability to organize and present ideas in a convincing and compelling manner; ability to communicate effectively with both technical and non-technical teams.
Strong business acumen; broad, enterprise-wide view and understanding of strategy, processes and capabilities, enabling technologies, and governance.
Exceptional interpersonal skills; able to communicate effectively with both technical and non-technical teams; able to provide technical leadership
Able to quickly learn business processes
Actively maintains awareness of external drivers in the business domain and relevant technology trends
Outgoing personality; self-starter able to work interactively and independently with stakeholders
Desired Experience
Information Technology background with at least 5+ years of experience working in a business analyst and project management capacity on large and/or complex projects in the Pharmaceutical Industry
Demonstrated ability to create and support a dynamic culture of innovation and continuous improvement in a matrix organization.
Proven ability in gathering, tracing, translating and managing complex requirements, business rules, and data
Experience with process modeling tools (ARIS, Visio, etc.) to identify, capture, define, and analyze business processes
Other Qualifications
Bachelor‚Äôs Degree and Years of Experience preferred (3-5 years)
Formal Business Analysis Certification; IIBA ECBA/CCBA/CBAP Certification or PMI-PBA a strong plus


Bristol-Myers Squibb recognizes the importance of balance and flexibility in our work environment. We offer a wide variety of competitive benefits, services and programs that provide our employees the resources to pursue their goals, both at work and in their personal lives.",,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
8,Tolling Business Analyst,"At Gannett Fleming, we believe in improving the lives of the people we serve. We believe in innovation and social responsibility. We believe in the diversity of our team and the creative solutions they provide. We believe in embracing change and emerging technologies while maintaining an unmatched standard of quality. We believe in creating an environment where employees can thrive at home and at work. We believe in engaging our employees, building lasting relationships with our clients, and, in turn, making a difference in the world.
Excellence Delivered As Promised. It‚Äôs more than a slogan. It‚Äôs our standard. It‚Äôs the expectation we place upon ourselves as individuals and as a company. It represents our commitment to our valued clients, industry partners, and employees. It‚Äôs our earnest pledge to do what we say. It‚Äôs the core of who we are as a firm and the foundation upon which all of our relationships and projects are built.

What You Will Do
Gannett Fleming's Tolling and Advanced Mobility team is looking for a Business / Tolling Analyst to work closely with experienced project managers and internal stakeholders to develop business cases, problem statements, and specifications to deliver business value to Gannett Fleming tolling and transportation clients in Northern and Southern California. Performs complex data and business process analysis to identify opportunities for improvement, need for additional decision-support tools and information, and to arrive at actionable recommendations that can be implemented to improve business outcomes. Detailed responsibilities include the following:
Gather and interpret customer business needs via interviews, business process analysis, surveys, site visits, use cases, task and workflow analysis, scenario planning, and by conducting workshops to elaborate requirements/specifications
Monitor and track Key Performance Indicators (KPI) required for the program on a daily, monthly and annual basis
Lead or participate on internal projects and manage the successful execution of projects coordinating the activities of a multidisciplinary team of professionals
Concisely document business needs in a manner that conveys clear understanding to other team members and customer stakeholders
Effectively communicate and collaborate with internal team members and external stakeholders to establish a technical vision, analyzing trade-offs between usability and performance
Analyze information needs and business challenges to determine how to best address these needs through the delivery of customized decision support tools and services
Produce feasibility reports based upon compiled research, advice of subject matter experts and exercise of expert judgment
Identify solution options, recommend new reports, and assess on both technical and business suitability dimensions
Create innovative solutions to complex problems
Keep up to date with technical as well as industry developments and trends

Minimum Qualifications
College degree within an Economics/Business, Engineering, Math, Statistics and / or Technology related discipline
2+ years‚Äô experience in a high-volume data/transaction environment.
A systematic approach to problem solving with a high attention to detail.
Excellent commercial, analytical and business case development skills.
Professional oral and written (presentation/data visualization) communication.
Business process engineering skills.
Excellent MS Excel and database capabilities.
Ability to present with confidence and prepare concise and complete Executive Summaries.


Life at Gannett Fleming
For more than 100 years, we‚Äôve been a leader in global infrastructure solutions with a focus on planning, design, technology, and construction management services for a diverse array of markets and disciplines. Across more than 60 offices, 2,500+ highly qualified professionals are united in an unyielding commitment to deliver excellence to every client and every project, every day.
Gannett Fleming is an Equal Opportunity/Affirmative Action Employer. All qualified candidates will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veterans status or other characteristics protected by law.
Gannett Fleming will not sponsor an employment visa (e.g., HB visa), including any visa renewal during employment, for any candidate for this position. No relocation assistance will be provided for this position. Local residents will be given preference.
NO AGENCIES PLEASE: Unsolicited resumes from third party agencies will not be accepted.
Location: Los Angeles CA or New York City, Newark New Jersey
Working Hours: 8 AM ‚Äì 5 PM
Employment Status: Full-time
Internal Requisition ID: 2020-6508",,Architectural & Engineering Services,Business Services
9,Business Analyst - Risk,"You'll work in our Risk practice in New York. This global practice supports clients in many different industries facing challenges of developing and implementing tailored concepts for risk recognition, measurement, and control.You'll work in teams of typically 3 - 5 consultants, playing an active role in all aspects of client engagement.You will assist client teams in understanding and quantifying risk exposures, evaluating risk strategies, and building and maintaining risk models by being staffed full-time on one engagement or providing ad-hoc assistance to several engagements.This includes gathering and analyzing information, formulating and testing hypotheses, and developing and communicating recommendations. You'll also have the opportunity to present results to client management and implement recommendations in collaboration with client team members. You will be expected to contribute to knowledge development by helping define and expand distinctive risk-based methodologies to support top management-level strategic decisions.You'll gain new skills and build on the strengths you bring to the firm. Business Analysts receive exceptional training as well as frequent coaching and mentoring from colleagues on their teams. This support includes a Partner from your local office or practice assigned to you to help guide your career as well as several weeks of formal training in your first two years as a Business Analyst.Additionally, you'll receive guidance and support from your local office or practice in the selection of client projects, helping you to develop your skills and build your network.* Undergraduate degree with an outstanding record of academic achievement in a quantitative discipline such as math, statistics, economics, finance, operations research, financial engineering, engineering, physics, etc.* Typically 1-4 years' experience in risk management (any industry sector but healthcare or pharmaceutical a plus) and/or experience in a consultancy (with risk focus) and/or comparable experience in banking, insurance, risk regulation & compliance [AML, fraud, KYC, etc.], advanced analytics, data privacy, IT/Tech risk, climate risk, etc.* Strong interest in and passion for risk topics - could be broadly interested or have a specific interest within a sector: banking/financial services, insurance, corporate, and/or in a specific function: risk regulation & compliance, advanced analytics, crisis management etc.* Proven record of leadership in a work setting and/or through extracurricular activities* Exceptional analytical and quantitative problem-solving skills* Ability to work collaboratively in a team environment* Ability to work effectively with people at all levels in an organization* Ability to communicate complex ideas effectively - both verbally and in writing - in English and the local office language(s)* Willingness to travel",,Consulting,Business Services
